Rank,Player (Bye),POS,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,AVG,Real-Time
128,Tyrone Tracy Jr.   NYG (8),RB44,181,147,119,—,113,—,140.0,128
129,Hunter Henry   NE (11),TE16,138,107,158,—,162,—,141.3,137
130,Jayden Higgins   HOU (8),WR54,157,129,132,—,147,—,141.3,126
131,Denver Broncos DST   (10),DST1,78,—,73,—,142,—,97.7,168
132,Brandon Aubrey   DAL (14),K1,71,—,115,—,112,—,99.3,162
133,Alvin Kamara   NO (8),RB45,154,157,138,—,129,—,144.5,145
134,Chris Rodriguez Jr.   JAC (7),RB46,194,142,113,—,132,—,145.3,133
135,Houston Texans DST   (8),DST2,81,—,103,—,127,—,103.7,157
136,Isiah Pacheco   DET (6),RB47,156,169,131,—,128,—,146.0,149
137,Jalen Coker   CAR (5),WR55,161,135,146,—,145,—,146.8,130
138,Baker Mayfield   TB (10),QB17,146,139,168,—,137,—,147.5,142
139,Kyler Murray   MIN (6),QB18,144,143,162,—,141,—,147.5,139
140,Kenyon Sadiq   NYJ (13),TE17,125,118,184,—,166,—,148.3,146
141,Jordan Love   GB (11),QB19,158,122,156,—,158,—,148.5,147
142,Tyler Shough   NO (8),QB20,151,145,163,—,139,—,149.5,151
143,Tyjae Spears   TEN (9),RB48,179,154,149,—,120,—,150.5,138
144,Brenton Strange   JAC (7),TE18,173,127,139,—,163,—,150.5,143
145,Juwan Johnson   NO (8),TE19,166,134,175,—,130,—,151.3,156
146,Rashid Shaheed   SEA (11),WR56,155,156,170,—,126,—,151.8,136
147,Stefon Diggs,WR57,169,125,164,—,156,—,153.5,129
148,Los Angeles Rams DST   (11),DST3,86,—,125,—,136,—,115.7,158
149,Oronde Gadsden II   LAC (7),TE20,187,95,153,—,195,—,157.5,121
150,Seattle Seahawks DST   (11),DST4,97,—,120,—,144,—,120.3,160
151,Tyler Allgeier   ARI (14),RB49,227,130,150,—,134,—,160.3,134
152,Chig Okonkwo   WAS (7),TE21,193,148,160,—,152,—,163.3,141
153,Jerry Jeudy   CLE (11),WR58,165,173,154,—,161,—,163.3,166
154,Malik Willis   MIA (6),QB21,175,137,181,—,169,—,165.5,165
155,Jalen McMillan   TB (10),WR59,177,162,155,—,172,—,166.5,154
156,Brian Robinson Jr.   ATL (11),RB50,200,121,195,—,151,—,166.8,135
157,Omar Cooper Jr.   NYJ (13),WR60,195,151,148,—,175,—,167.3,152
158,Denzel Boston   CLE (11),WR61,184,150,161,—,178,—,168.3,148
159,Jason Myers   SEA (11),K2,113,—,130,—,159,—,134.0,185
160,Philadelphia Eagles DST   (10),DST5,127,—,127,—,157,—,137.0,181
161,Jalen Nailor   LV (13),WR62,218,168,151,—,148,—,171.3,150
162,Ka'imi Fairbairn   HOU (8),K3,126,—,143,—,146,—,138.3,174
163,T.J. Hockenson   MIN (6),TE22,122,141,—,—,165,—,142.7,169
164,Jauan Jennings   MIN (6),WR63,209,149,172,—,171,—,175.3,155
165,Sam Darnold   SEA (11),QB22,167,165,196,—,176,—,176.0,175
166,Braelon Allen   NYJ (13),RB51,205,176,145,—,180,—,176.5,172
167,Dalton Schultz   HOU (8),TE23,186,136,187,—,201,—,177.5,170
168,Jonah Coleman   DEN (10),RB52,—,146,157,—,138,—,147.0,140
169,Cameron Dicker   LAC (7),K4,105,—,194,—,143,—,147.3,179
170,Tank Bigsby   PHI (10),RB53,191,186,182,—,160,—,179.8,163
171,Keaton Mitchell   LAC (7),RB54,—,164,144,—,140,—,149.3,144
172,Tyreek Hill,WR64,201,175,176,—,188,—,185.0,197
173,Calvin Ridley   TEN (9),WR65,183,223,189,—,150,—,186.3,236
174,Dylan Sampson   CLE (11),RB55,—,167,159,—,155,—,160.3,153
175,Deebo Samuel Sr.,WR66,232,163,178,—,182,—,188.8,171
176,Antonio Williams   WAS (7),WR67,224,170,167,—,196,—,189.3,159
177,Pittsburgh Steelers DST   (9),DST6,109,—,192,—,190,—,163.7,184
178,Minnesota Vikings DST   (6),DST7,185,—,135,—,173,—,164.3,213
179,New England Patriots DST   (11),DST8,141,—,180,—,174,—,165.0,180
180,Tre Tucker   LV (13),WR68,189,203,147,—,238,—,194.3,167
181,James Conner   ARI (14),RB56,219,155,191,—,215,—,195.0,173
182,Kayshon Boutte   NE (11),WR69,—,179,169,—,167,—,171.7,196
183,Travis Hunter   JAC (7),WR70,110,159,—,—,247,—,172.0,161
184,Adonai Mitchell   NYJ (13),WR71,243,178,174,—,197,—,198.0,178
185,C.J. Stroud   HOU (8),QB23,174,161,—,—,191,—,175.3,177
186,Jake Bates   DET (6),K5,153,—,199,—,179,—,177.0,263
187,Emmett Johnson   KC (5),RB57,265,152,179,—,211,—,201.8,164
188,Nicholas Singleton   TEN (9),RB58,—,177,193,—,177,—,182.3,182
189,Cam Ward   TEN (9),QB24,178,166,—,—,210,—,184.7,191
190,Cam Little   JAC (7),K6,133,—,—,—,153,—,143.0,195
191,Tank Dell   HOU (8),WR72,—,202,152,—,205,—,186.3,193
192,Brandon Aiyuk   SF (8),WR73,—,187,183,—,198,—,189.3,223
193,Fernando Mendoza   LV (13),QB25,171,171,—,—,227,—,189.7,200
194,Kimani Vidal   LAC (7),RB59,—,182,185,—,203,—,190.0,204
195,AJ Barner   SEA (11),TE24,203,153,—,—,217,—,191.0,183
196,Kaytron Allen   WAS (7),RB60,—,183,190,—,206,—,193.0,203
197,Emanuel Wilson   SEA (11),RB61,—,200,165,—,218,—,194.3,214
198,Harrison Mevis   LAR (11),K7,128,—,—,—,189,—,158.5,255
199,Daniel Jones   IND (13),QB26,164,192,—,—,235,—,197.0,188
200,Bryce Young   CAR (5),QB27,192,190,—,—,216,—,199.3,201
201,Terrance Ferguson   LAR (11),TE25,176,158,—,—,—,—,167.0,199
202,Jacksonville Jaguars DST   (7),DST9,168,—,—,—,170,—,169.0,220
203,David Njoku   LAC (7),TE26,—,172,—,—,168,—,170.0,228
204,Greg Dulcich   MIA (6),TE27,—,—,142,—,202,—,172.0,209
205,Tyler Loop   BAL (13),K8,162,—,—,—,183,—,172.5,242
206,Eddy Pineiro   SF (8),K9,147,—,—,—,200,—,173.5,270
207,Demond Claiborne   MIN (6),RB62,—,210,197,—,214,—,207.0,208
208,Los Angeles Chargers DST   (7),DST10,160,—,—,—,192,—,176.0,216
209,Darnell Mooney   NYG (8),WR74,—,213,177,—,236,—,208.7,206
210,Cade Otton   TB (10),TE28,—,160,198,—,269,—,209.0,221
211,Jordan James   SF (8),RB63,—,—,137,—,219,—,178.0,210
212,Baltimore Ravens DST   (13),DST11,124,—,—,—,237,—,180.5,249
213,Ja'Kobi Lane   BAL (13),WR75,216,193,—,—,228,—,212.3,240
214,Cairo Santos   CHI (10),K10,172,—,200,—,266,—,212.7,274
215,Mike Washington Jr.   LV (13),RB64,—,180,—,—,187,—,183.5,187
216,Sean Tucker   TB (10),RB65,—,189,—,—,185,—,187.0,217
217,Kaelon Black   SF (8),RB66,—,—,166,—,229,—,197.5,246
218,Germie Bernard   PIT (9),WR76,210,212,—,—,252,—,224.7,266
219,Harrison Butker   KC (5),K11,148,—,—,—,254,—,201.0,254
220,Green Bay Packers DST   (11),DST12,182,—,—,—,221,—,201.5,271
221,Kansas City Chiefs DST   (5),DST13,159,—,—,—,245,—,202.0,278
222,Zachariah Branch   ATL (11),WR77,—,181,—,—,225,—,203.0,189
223,Cleveland Browns DST   (11),DST14,150,—,—,—,257,—,203.5,—
224,Ray Davis   BUF (7),RB67,—,204,—,—,204,—,204.0,194
225,Detroit Lions DST   (6),DST15,149,—,—,—,260,—,204.5,225
226,Gunnar Helm   TEN (9),TE29,233,197,—,—,253,—,227.7,205
227,Jack Bech   LV (13),WR78,—,238,173,—,—,—,205.5,284
228,Dallas Cowboys DST   (14),DST16,180,—,—,—,233,—,206.5,283
229,Malachi Fields   NYG (8),WR79,263,243,—,—,181,—,229.0,238
230,Will Reichard   MIN (6),K12,170,—,—,—,246,—,208.0,245
231,Chris Boswell   PIT (9),K13,163,—,—,—,255,—,209.0,243
232,Pat Freiermuth   PIT (9),TE30,198,—,—,—,220,—,209.0,229
233,Tre' Harris   LAC (7),WR80,—,191,—,—,230,—,210.5,190
234,Isaac TeSlaa   DET (6),WR81,—,194,—,—,234,—,214.0,192
235,Christian Kirk   SF (8),WR82,—,241,188,—,—,—,214.5,—
236,Cooper Kupp   SEA (11),WR83,196,234,—,—,—,—,215.0,222
237,Shedeur Sanders   CLE (11),QB28,211,220,—,—,—,—,215.5,252
238,San Francisco 49ers DST   (8),DST17,190,—,—,—,244,—,217.0,260
239,Aaron Rodgers   PIT (9),QB29,212,—,—,—,222,—,217.0,250
240,Austin Ekeler,RB68,—,—,—,—,164,—,164.0,—
241,New York Giants DST   (8),DST18,207,—,—,—,231,—,219.0,291
242,Chase McLaughlin   TB (10),K14,188,—,—,—,251,—,219.5,256
243,Jacoby Brissett   ARI (14),QB30,—,198,—,—,241,—,219.5,207
244,Jaydon Blue   DAL (14),RB69,—,236,—,—,207,—,221.5,211
245,J.J. McCarthy   MIN (6),QB31,228,217,—,—,—,—,222.5,272
246,Buffalo Bills DST   (7),DST19,204,—,—,—,242,—,223.0,262
247,Eli Stowers   PHI (10),TE31,—,174,—,—,—,—,174.0,235
248,Kaleb Johnson   PIT (9),RB70,—,209,—,—,239,—,224.0,286
249,Chris Bell   MIA (6),WR84,—,229,—,—,223,—,226.0,230
250,Chicago Bears DST   (10),DST20,206,—,—,—,249,—,227.5,275
251,Justice Hill   BAL (13),RB71,—,—,—,—,184,—,184.0,264
252,Trey Benson   ARI (14),RB72,—,184,—,—,—,—,184.0,273
253,Troy Franklin   DEN (10),WR85,—,185,—,—,—,—,185.0,215
254,De'Zhaun Stribling   SF (8),WR86,—,199,—,—,259,—,229.0,198
255,John Metchie III   CAR (5),WR87,—,—,186,—,—,—,186.0,—
256,Malik Washington   MIA (6),WR88,—,—,—,—,186,—,186.0,176
257,Jake Tonges   SF (8),TE32,—,188,—,—,271,—,229.5,257
258,Evan McPherson   CIN (6),K15,197,—,—,—,263,—,230.0,218
259,Jaylen Wright   MIA (6),RB73,—,208,—,—,256,—,232.0,233
260,Ryan Flournoy   DAL (14),WR89,—,222,—,—,243,—,232.5,186
261,George Holani   SEA (11),RB74,—,—,—,—,193,—,193.0,244
262,Jake Elliott   PHI (10),K16,202,—,—,—,264,—,233.0,281
263,Jahan Dotson   ATL (11),WR90,—,—,—,—,194,—,194.0,—
264,Elic Ayomanor   TEN (9),WR91,—,195,—,—,—,—,195.0,261
265,Colby Parkinson   LAR (11),TE33,—,196,—,—,—,—,196.0,232
266,Tampa Bay Buccaneers DST   (10),DST21,199,—,—,—,—,—,199.0,241
267,Ty Johnson   BUF (7),RB75,—,—,—,—,199,—,199.0,287
268,Kyle Williams   NE (11),WR92,258,214,—,—,—,—,236.0,—
269,Joe Mixon,RB76,391,201,—,—,—,—,296.0,279
270,Ty Simpson   LAR (11),QB32,235,242,—,—,—,—,238.5,—
271,Devin Neal   NO (8),RB77,336,205,—,—,—,—,270.5,—
272,Najee Harris   LAC (7),RB78,475,206,—,—,—,—,340.5,—
273,Jaylin Noel   HOU (8),WR93,—,207,—,—,—,—,207.0,231
274,Odell Beckham Jr.   NYG (8),WR94,208,—,—,—,—,—,208.0,—
275,MarShawn Lloyd   GB (11),RB79,—,—,—,—,208,—,208.0,212
276,Samaje Perine   CIN (6),RB80,—,—,—,—,209,—,209.0,253
277,Marvin Mims Jr.   DEN (10),WR95,—,211,—,—,—,—,211.0,296
278,Jalen Tolbert   MIA (6),WR96,—,—,—,—,212,—,212.0,—
279,Cincinnati Bengals DST   (6),DST22,217,—,—,—,268,—,242.5,293
280,Matt Gay   LV (13),K17,213,—,—,—,—,—,213.0,—
281,Andy Borregales   NE (11),K18,—,—,—,—,213,—,213.0,269
282,Michael Trigg   DAL (14),TE34,241,245,—,—,—,—,243.0,—
283,Trey Smack   GB (11),K19,214,—,—,—,—,—,214.0,—
284,Miami Dolphins DST   (6),DST23,215,—,—,—,—,—,215.0,280
285,Pat Bryant   DEN (10),WR97,—,215,—,—,—,—,215.0,248
286,Ted Hurst III   TB (10),WR98,—,216,—,—,—,—,216.0,226
287,Mason Taylor   NYJ (13),TE35,398,218,—,—,—,—,308.0,276
288,Kendre Miller   NO (8),RB81,—,219,—,—,—,—,219.0,—
289,Justin Tucker,K20,220,—,—,—,—,—,220.0,—
290,Philip Rivers,QB33,221,—,—,—,—,—,221.0,—
291,Brashard Smith   KC (5),RB82,424,221,—,—,—,—,322.5,297
292,Carolina Panthers DST   (5),DST24,222,—,—,—,—,—,222.0,—
293,Las Vegas Raiders DST   (13),DST25,223,—,—,—,272,—,247.5,295
294,Tennessee Titans DST   (9),DST26,238,—,—,—,258,—,248.0,289
295,Michael Penix Jr.   ATL (11),QB34,—,224,—,—,—,—,224.0,—
296,Ollie Gordon II   MIA (6),RB83,—,—,—,—,224,—,224.0,—
297,Keenan Allen   LAC (7),WR99,—,232,—,—,265,—,248.5,290
298,Washington Commanders DST   (7),DST27,225,—,—,—,—,—,225.0,239
299,Tory Horton   SEA (11),WR100,—,225,—,—,—,—,225.0,292
300,Cole Kmet   CHI (10),TE36,226,—,—,—,—,—,226.0,—
301,Dontayvion Wicks   PHI (10),WR101,—,—,—,—,226,—,226.0,267
302,Elijah Sarratt   BAL (13),WR102,—,226,—,—,—,—,226.0,237
303,Chimere Dike   TEN (9),WR103,—,227,—,—,—,—,227.0,288
304,Chris Brazzell II   CAR (5),WR104,—,228,—,—,—,—,228.0,265
305,Darnell Washington   PIT (9),TE37,229,—,—,—,—,—,229.0,—
306,Dawson Knox   BUF (7),TE38,230,—,—,—,—,—,230.0,—
307,Theo Johnson   NYG (8),TE39,—,230,—,—,—,—,230.0,247
308,KaVontae Turpin   DAL (14),WR105,231,—,—,—,—,—,231.0,—
309,Rashod Bateman   BAL (13),WR106,—,231,—,—,—,—,231.0,259
310,Tyler Bass   BUF (7),K21,237,—,—,—,267,—,252.0,268
311,Adam Randall   BAL (13),RB84,—,—,—,—,232,—,232.0,—
312,Keon Coleman   BUF (7),WR107,—,233,—,—,—,—,233.0,251
313,Justin Fields   KC (5),QB35,234,—,—,—,—,—,234.0,—
314,Tua Tagovailoa   ATL (11),QB36,—,235,—,—,—,—,235.0,258
315,Dominic Zvada   NYG (8),K22,236,—,—,—,—,—,236.0,—
316,Audric Estime   NO (8),RB85,—,237,—,—,—,—,237.0,—
317,Devaughn Vele   NO (8),WR108,—,239,—,—,—,—,239.0,—
318,Skyler Bell   BUF (7),WR109,239,—,—,—,—,—,239.0,—
319,Younghoe Koo,K23,240,—,—,—,—,—,240.0,—
320,Devin Singletary   NYG (8),RB86,—,—,—,—,240,—,240.0,—
321,Jarquez Hunter   LAR (11),RB87,—,240,—,—,—,—,240.0,—
322,Arizona Cardinals DST   (14),DST28,242,—,—,—,—,—,242.0,—
323,Mac Jones   SF (8),QB37,244,—,—,—,—,—,244.0,—
324,Max Klare   LAR (11),TE40,—,244,—,—,—,—,244.0,—
325,Ryan Fitzgerald   CAR (5),K24,245,—,—,—,—,—,245.0,—
326,Matt Prater,K25,246,—,—,—,—,—,246.0,—
327,Jason Sanders   NYJ (13),K26,247,—,—,—,—,—,247.0,—
328,Chris Brooks   GB (11),RB88,—,—,—,—,248,—,248.0,—
329,Jahdae Walker   CHI (10),WR110,248,—,—,—,—,—,248.0,—
330,Spencer Shrader   IND (13),K27,249,—,—,—,—,—,249.0,—
331,Wil Lutz   DEN (10),K28,—,—,—,—,250,—,250.0,277
332,Caden Davis,K29,250,—,—,—,—,—,250.0,—
333,Tommy DeVito   NE (11),QB38,251,—,—,—,—,—,251.0,—
334,Atlanta Falcons DST   (11),DST29,252,—,—,—,—,—,252.0,294
335,Zavion Thomas   CHI (10),WR111,253,—,—,—,—,—,253.0,—
336,Tyler Higbee   LAR (11),TE41,254,—,—,—,—,—,254.0,—
337,Andre Szmyt   CLE (11),K30,255,—,—,—,—,—,255.0,—
338,DeMario Douglas   NE (11),WR112,256,—,—,—,—,—,256.0,—
339,Jordan Whittington   LAR (11),WR113,257,—,—,—,—,—,257.0,—
340,Tyson Bagent   CHI (10),QB39,259,—,—,—,—,—,259.0,—
341,Nick Folk   ATL (11),K31,260,—,—,—,—,—,260.0,—
342,Jameis Winston   NYG (8),QB40,261,—,—,—,—,—,261.0,—
343,DJ Giddens   IND (13),RB89,—,—,—,—,261,—,261.0,—
344,Evan Engram   DEN (10),TE42,—,—,—,—,262,—,262.0,—
345,Jake Moody   WAS (7),K32,262,—,—,—,—,—,262.0,—
346,Luke Schoonmaker   DAL (14),TE43,264,—,—,—,—,—,264.0,—
347,Ben Sauls   NYG (8),K33,266,—,—,—,—,—,266.0,—
348,Eli Raridon   NE (11),TE44,267,—,—,—,—,—,267.0,—
349,Luke Musgrave   GB (11),TE45,268,—,—,—,—,—,268.0,—
350,Brock Wright   DET (6),TE46,269,—,—,—,—,—,269.0,—
351,New Orleans Saints DST   (8),DST30,—,—,—,—,270,—,270.0,—
352,Cade Klubnik   NYJ (13),QB41,270,—,—,—,—,—,270.0,—
353,Kyle Allen   BUF (7),QB42,271,—,—,—,—,—,271.0,—
354,Drew Lock   SEA (11),QB43,272,—,—,—,—,—,272.0,—
355,Quinn Ewers   MIA (6),QB44,273,—,—,—,—,—,273.0,—
356,JuJu Smith-Schuster   NYG (8),WR114,274,—,—,—,—,—,274.0,—
357,Efton Chism III   NE (11),WR115,275,—,—,—,—,—,275.0,—
358,Graham Gano,K34,276,—,—,—,—,—,276.0,—
359,Jude McAtamney,K35,277,—,—,—,—,—,277.0,—
360,Sal Cannella,TE47,278,—,—,—,—,—,278.0,—
361,New York Jets DST   (13),DST31,279,—,—,—,—,—,279.0,—
362,Carson Beck   ARI (14),QB45,280,—,—,—,—,—,280.0,—
363,Joe Milton III   DAL (14),QB46,281,—,—,—,—,—,281.0,—
