player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Jordan Mason,62946,HB,MIN,16,0,18,60.0,1.4,1,5.9,70,58.9,0,9.3,17,182,59.8,3.2,3,17.6,94
Devin Singletary,40485,HB,NYG,17,0,21,48.9,17.2,10,58.8,58,47.8,0,12.1,17,140,60.0,1.3,1,5.9,75
Ronnie Bell,84288,WR,NO,2,0,20,84.0,100.0,7,43.8,7,74.2,0,100.0,16,16,54.8,100.0,8,50.0,8
Branson Taylor,123026,G,LAC,1,0,27,49.5,100.0,8,50.0,8,37.1,0,100.0,16,16,56.8,100.0,5,31.3,5
Quinshon Judkins,157128,HB,CLV,14,0,8,60.0,1.6,2,12.5,124,69.3,0,6.3,16,256,60.0,0.9,1,6.3,108
Cameron Williams,163867,T,PHI,1,0,24,54.7,100.0,5,33.3,5,65.6,0,100.0,15,15,71.4,100.0,9,60.0,9
Audric Estime,147476,HB,NO,6,0,20,58.8,26.7,4,26.7,15,43.6,0,24.2,15,62,60.0,7.7,3,20.0,39
Tony Pollard,27126,HB,TEN,17,0,31,60.0,0.8,1,6.7,120,75.9,0,5.7,15,264,67.5,2.3,3,20.0,131
Mike Jerrell,183057,T,ATL,1,0,2,58.3,100.0,4,26.7,4,29.1,0,100.0,15,15,29.9,100.0,10,66.7,10
Bam Knight,97432,HB,ARZ,10,0,1,56.1,4.5,3,20.0,67,52.0,0,14.6,15,103,60.0,7.7,2,13.3,26
Tim Jones,61669,WR,JAX,3,0,15,54.2,100.0,6,40.0,6,54.6,0,100.0,15,15,58.9,100.0,7,46.7,7
Lucas Patrick,11435,G,CIN,4,0,7,58.6,100.0,9,60.0,9,62.0,0,100.0,15,15,65.8,100.0,5,33.3,5
